Vessel,Year,Location of incident,Lon,Lat,Country of registration,Purpose,Cause of incident
Marigold,1578,Drake Passage,-58.58027778,-62.90944444,United Kingdom,Expedition,Weather
Sally,1796,South Georgia,-54.31666667,-36.65,United Kingdom,Sealing,Unknown
Regulator,1799,South Georgia,-54.31666667,-36.65,United States of America,Sealing,Unknown
Canada,1800,South Georgia,-54.31666667,-36.65,United Kingdom,Sealing,Unknown
Earl Spencer,1801,South Georgia,-54.31666667,-36.65,United Kingdom,Sealing,Unknown
Admiral Colpoys,1818,South Georgia,-54.31666667,-36.65,United Kingdom,Sealing,Unknown
San Telmo,1819,South Shetland Islands,-62,-58,Spain,Military,Unknown
Anne,1820,South Shetland Islands,-62,-58,United Kingdom,Sealing,Unknown
Hannah,1820,South Shetland Islands,-62,-58,United Kingdom,Sealing,Unknown
Lady Troubridge,1820,South Shetland Islands,-62,-58,United Kingdom,Sealing,Unknown
Lovely Nancy,1820,South Georgia,-54.31666667,-36.65,United Kingdom,Sealing,Unknown
Clothier,1820,South Shetland Islands,-62,-58,United States of America,Sealing,Unknown
Venus,1821,South Shetland Islands,-62,-58,United States of America,Sealing,Unknown
Robert,1822,South Shetland Islands,-62,-58,United Kingdom,Sealing,Unknown
Henry,1824,Southern Ocean,-70,-150,United States of America,Sealing,Unknown
Hope,1829,South Georgia,-54.31666667,-36.65,United Kingdom,Sealing,Unknown
Rose,1834,Southern Ocean,-70,-150,United Kingdom,Expedition,Unknown
Sabrina,1839,East Antarctica,-80,80,United Kingdom,Expedition,Unknown
Ocollo,1839,South Georgia,-54.31666667,-36.65,United States of America,Sealing,Unknown
Richard Henry,1845,South Shetland Islands,-62,-58,United States of America,Whaling And Sealing,Unknown
Catherine,1846,South Shetland Islands,-62,-58,United States of America,Sealing,Unknown
Lion,1854,South Shetland Islands,-62,-58,United States of America,Sealing,Unknown
Charles Shearer,1877,South Shetland Islands,-62,-58,United States of America,Sealing,Unknown
Antarctic,1903,Antarctic Peninsula,-69,-66,Sweden,Expedition,Unknown
Louise,1904,South Georgia,-54.31666667,-36.65,Argentina,Whaling,Unknown
Fridtjof Nansen,1906,South Georgia,-54.31666667,-36.65,Norway,Whaling,Unknown
Lyn,1906,South Georgia,-54.31666667,-36.65,Norway,Fisheries,Unknown
Karrakatta,1907,South Georgia,-54.31666667,-36.65,Norway,Whaling,Unknown
James W. Turpie,1909,South Georgia,-54.31666667,-36.65,United Kingdom,Whaling,Unknown
Camana,1911,South Georgia,-54.31666667,-36.65,Norway,Whaling,Unknown
Selvik,1911,Antarctic Peninsula,-69,-66,Norway,Whaling,Unknown
Brutus,1912,South Georgia,-54.31666667,-36.65,United Kingdom,Whaling,Unknown
Pisagua,1913,South Shetland Islands,-62,-58,Norway,Whaling,Unknown
Tioga,1913,South Orkney Islands,-60.681944,-45.186111,Norway,Whaling,Unknown
Guvernoren,1915,Antarctic Peninsula,-69,-66,Norway,Whaling,Unknown
Harpon,1915,Antarctic Peninsula,-69,-66,Norway,Whaling,Unknown
Endurance,1915,Weddell Sea,-75,-45,United Kingdom,Expedition,Unknown
